Job Title,Company,Experience,Location,Salary,Link,Skills
Technical Data Analyst,Datumlyze,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-2 Yrs "">0-2 Yrs</span>",Temp. WFH - Chennai,"1,75,000 - 4,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-technical-data-analyst-datumlyze-pvt-ltd-chennai-0-to-2-years-040222005193"")","Pivot Table, Excel, VLOOKUP, data analysis, Unix, MS Office, analytical, Linux"
MIS Executive / Data Analyst,Zebronics,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""2-6 Yrs "">2-6 Yrs</span>",Chennai,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-mis-executive-data-analyst-zebronics-india-pvt-ltd-chennai-2-to-6-years-061022005808"")","advanced excel, dashboards, Pivot Table, python, VLOOKUP, mis, HLOOKUP, powerpoint"
Senior HR Data Analyst Role @ FourKites,Fourkites,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""6-9 Yrs "">6-9 Yrs</span>",Chennai,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-hr-data-analyst-role-fourkites-fourkites-india-pvt-ltd-chennai-6-to-9-years-061022001704"")","excel, data management, HRIS"
Compliance Data Analyst,Xoom Inc,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-3 Yrs "">0-3 Yrs</span>","Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-compliance-data-analyst-xoom-inc-chennai-bangalore-bengaluru-0-to-3-years-031022501990"")","Unix, Backend, Data analysis, SAS, Coding, Windows, Oracle, Data mining"
Data Analyst/SQL - Banking/Finance - Immediate,Perficient,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""5-10 Yrs "">5-10 Yrs</span>","Temp. WFH - Chennai, Bangalore/Bengaluru","15,00,000 - 25,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-sql-banking-finance-immediate-perficient-india-private-limited-chennai-bangalore-bengaluru-5-to-10-years-051022008710"")","SQL Development, Data Analysis, Data Modeling, data analyst, SQL"
Senior MIS Data Analyst,Karadi Path Education Company,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""4-8 Yrs "">4-8 Yrs</span>",Chennai(Adyar),"4,00,000 - 5,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-senior-mis-data-analyst-karadi-path-education-company-private-limited-chennai-4-to-8-years-031022001628"")","data analysis, MIS, Pivot Table, VLOOKUP, Data Management, Conditional Formatting, Advanced Excel, management reporting"
Associate Data Analyst/Data Analyst - Services,Arcadia,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-3 Yrs "">0-3 Yrs</span>",Chennai,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-associate-data-analyst-data-analyst-services-arcadia-chennai-0-to-3-years-300922501772"")","Excel, MS office, X data, Data analysis, Quality standards, Associate Data Analyst, Data modeling, Data collection"
Data Analyst - Subscription Management,Urjanet Energy Solutions,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-3 Yrs "">0-3 Yrs</span>",Chennai,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-subscription-management-urjanet-chennai-0-to-3-years-300922500380"")","data analysis, SQL queries, analytical, Pivots, MS Excel, communication, Analytical skills, Excel"
Senior Clinical Data Analyst,Inspire Analytics,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""3-5 Yrs "">3-5 Yrs</span>",Chennai,"20,00,000 - 25,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-senior-clinical-data-analyst-inspire-analytics-private-limited-chennai-3-to-5-years-210622009493"")","SAS, SQL, Python, data analysis, Claims Data, data manipulation, Relational Databases, Data"
Data Analyst - CRM Platform,Artech infosystem,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""1-6 Yrs "">1-6 Yrs</span>","Chennai, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-crm-platform-artech-infosystem-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-1-to-6-years-270922903258"")","MDM, Analytics, CRM, Java, communication, Salesforce, analytical, SQL"
