Job Title,Company,Experience,Location,Salary,Link,Skills
Senior Technical Business Analyst - Data Engineering,cliqhr.com,"<span class=""ellipsis fleft fs12 lh16"" title=""6-9 Yrs "">6-9 Yrs</span>","Kochi/Cochin, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-technical-business-analyst-data-engineering-cliqhr-com-kochi-cochin-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-6-to-9-years-260822909515"")","Azure, Business Analyst, ETL Applications, Data Analysis, Data Mining, SQL"
Data Analyst,EY,"<span class=""ellipsis fleft fs12 lh16"" title=""7-10 Yrs "">7-10 Yrs</span>","Kochi/Cochin, Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-eygbs-india-llp-kochi-cochin-hyderabad-secunderabad-bangalore-bengaluru-7-to-10-years-240822010522"")","Data analyst, Power Bi, Power Query"
Data Analyst,Orion Innovation,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""5-10 Yrs "">5-10 Yrs</span>","Kochi/Cochin, Chennai, Coimbatore",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-orion-india-systems-pvt-limited-kochi-cochin-chennai-coimbatore-5-to-10-years-250822006266"")","Google Analytics, Power Bi, Python, Communication Skills"
Senior Data Analyst,INSIGHTSE,"<span class=""ellipsis fleft fs12 lh16"" title=""1-2 Yrs "">1-2 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-analyst-insightse-ernakulam-kochi-cochin-1-to-2-years-091220500003"")","Data analysis, Statistical modeling, SAS, management, Database management, Database, Data Analyst, Data analytics"
Business Data Analyst - Leading Insurance Organization,Premium,"<span class=""ellipsis fleft fs12 lh16"" title=""5-10 Yrs "">5-10 Yrs</span>",Kochi/Cochin,"20,00,000 - 25,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-business-data-analyst-leading-insurance-organization-naukri-employer-services-kochi-cochin-5-to-10-years-290722009108"")","Data Analyst, R, Power BI, SQL, Python"
Senior Data Analyst,Xtrastaff,"<span class=""ellipsis fleft fs12 lh16"" title=""3-6 Yrs "">3-6 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-analyst-xtrastaff-kochi-cochin-3-to-6-years-070921500317"")","Tableau, AWS Quicksight, PowerBI, Quicksight, IT Skills, AWS, Business Intelligence, Data Structures"
Data Analyst,CINDREBAY SCHOOL OF FASHION & INTERIOR DESIGN,"<span class=""ellipsis fleft fs12 lh16"" title=""1-4 Yrs "">1-4 Yrs</span>","Kochi/Cochin, Hyderabad/Secunderabad, Coimbatore, Thodupuzha, Trivandrum/Thiruvananthapuram, Kolkata, Cannanore/Kannur, Indore, Nagpur, Pune, Lucknow, Calicut/Kozhikode, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-cindrebay-school-of-fashion-interior-design-hyderabad-secunderabad-coimbatore-thodupuzha-trivandrum-thiruvananthapuram-kochi-cochin-kolkata-cannanore-kannur-indore-nagpur-pune-lucknow-calicut-kozhikode-1-to-4-years-101221500466"")","Secondary Data, Database Design Development, Business Data Analyst, Data Collection Systems, Data Analysis, Data Mining, Information Management, Data Analytics"
Business Data Analyst (Bancassurance),HR CENTRAL,"<span class=""ellipsis fleft fs12 lh16"" title=""5-10 Yrs "">5-10 Yrs</span>","Kochi/Cochin, Hyderabad/Secunderabad, Mangaluru/Mangalore, Thrissur/Trichur, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-business-data-analyst-bancassurance-hr-central-kochi-cochin-hyderabad-secunderabad-mangaluru-mangalore-thrissur-trichur-chennai-bangalore-bengaluru-5-to-10-years-200722004596"")",Business Data Analysis
Data Analyst,Reubro,"<span class=""ellipsis fleft fs12 lh16"" title=""4-6 Yrs "">4-6 Yrs</span>","Kochi, Cochin/ Kochi/ Ernakulam",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-reubro-international-ernakulam-kochi-cochin-cochin-kochi-ernakulam-4-to-6-years-051015500936"")","IT Skills, Data Science, DBA, Big Data, data management, chaid, statistical techniques, data mining"
Data Analyst,Feathersoft Info Solutions,"<span class=""ellipsis fleft fs12 lh16"" title=""1-4 Yrs "">1-4 Yrs</span>","Kochi/Cochin, Chennai",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-feathersoft-info-solutions-private-limited-kochi-cochin-chennai-1-to-4-years-240122500273"")","Tableau, Power BI, R, SQL, data analytics, written, Python, IT Skills"
