Job Title,Company,Experience,Location,Salary,Link,Skills
Senior Data Analyst - SQL,Black Turtle,"<span class=""ellipsis fleft fs12 lh16"" title=""4-6 Yrs "">4-6 Yrs</span>",Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-analyst-sql-black-turtle-india-pvt-ltd-kolkata-4-to-6-years-310822907485"")","SQL, MS Excel, Project Management, PL SQL, VBA macros, Data Analytics, Analytics, Data Lake Technologies"
Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,"<span class=""ellipsis fleft fs12 lh16"" title=""0-2 Yrs "">0-2 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-290822904934"")","Data Analysis, Python, SQL server, C++, Advanced Excel, VBA, IT Skills, Data Science"
Data Analyst,Marriage On Mind,"<span class=""ellipsis fleft fs12 lh16"" title=""0-5 Yrs "">0-5 Yrs</span>","Kolkata, Indore, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-marriage-on-mind-kolkata-indore-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-200722010262"")","SQL, python, C++, C, it, trainee, data analyst, bcom"
Data Analyst - FinTech,Primo Hiring,"<span class=""ellipsis fleft fs12 lh16"" title=""1-2 Yrs "">1-2 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-fintech-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-1-to-2-years-310822905688"")","Data Analysis, SQL, Excel, SAS, XML, Javascript, SPSS"
Data Analyst - Java/Python,Career Infosystem,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-java-python-career-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-4-to-8-years-010922901797"")","Java, Database Design, Data Mining, IT Skills, Python, Oracle, Javascript, Tableau"
Data Analyst,Kissht,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""2-5 Yrs "">2-5 Yrs</span>",Kolkata,"6,00,000 - 12,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-si-creva-capital-services-private-limited-kolkata-2-to-5-years-230822003975"")","Statistical data, Analytical Skills, Risk Analysis, Data Modeling, Python, PowerBI, R Programming, and Data Visualization"
Business Data Analyst,Sterlite Technologies,"<span class=""ellipsis fleft fs12 lh16"" title=""5-10 Yrs "">5-10 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","12,00,000 - 18,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-business-data-analyst-sterlite-technologies-limited-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-5-to-10-years-260722009554"")","Domo, Business Intelligence Tools, sap, Data Management, business data analyst, Data Analysis, Data Mining, Tableau"
Data Analyst/developer - Sql/postgresql,Quantum Inventions Development Centre,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>",Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-developer-sql-postgresql-quantum-inventions-development-centre-kolkata-2-to-7-years-010922900785"")","NoSQL, PostgreSQL, Hadoop, ETL, verbal, Python, written communication, Predictive Modelling"
Data Analyst - CRM Platform,Artech infosystem,"<span class=""ellipsis fleft fs12 lh16"" title=""1-6 Yrs "">1-6 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-crm-platform-artech-infosystem-kolkata-mumbai-hyderabad-secunderabad-pune-ahmedabad-chennai-delhi-ncr-bangalore-bengaluru-1-to-6-years-270722904483"")","CRM, Python, communication, analytical, data analytics, Java, SQL, C++"
Call For Clinical Data Analyst - Hyd/Bangalore/Pune/Mumbai/Kolkata,Cognizant,"<span class=""ellipsis fleft fs12 lh16"" title=""6-9 Yrs "">6-9 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Mumbai (All Areas)",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-call-for-clinical-data-analyst-hyd-bangalore-pune-mumbai-kolkata-cognizant-technology-solutions-india-pvt-ltd-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-mumbai-all-areas-6-to-9-years-250722005743"")","Medidata Rave, clinical data management"
