Job Title,Company,Experience,Location,Salary,Link,Skills
Manager/Senior Manager - Data Analyst,Huquo Consulting Pvt. Ltd,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""2-7 Yrs "">2-7 Yrs</span>","Pune, Mumbai, Hyderabad/Secunderabad, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-manager-senior-manager-data-analyst-huquo-consulting-pvt-ltd-mumbai-hyderabad-secunderabad-pune-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-delhi-ncr-2-to-7-years-220922906946"")","data management, Airflow, analytical, Tableau, Excel, SQL, Python, IT Skills"
Data Analyst - CRM Platform,Artech infosystem,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""1-6 Yrs "">1-6 Yrs</span>","Pune, Mumbai, Hyderabad/Secunderabad, Chennai, Ahmedabad, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-crm-platform-artech-infosystem-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-1-to-6-years-270922903258"")","MDM, Analytics, CRM, Java, communication, Salesforce, analytical, SQL"
Data Analyst (SQL DBA),Coforge,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""6-10 Yrs "">6-10 Yrs</span>","Pune, Noida, Greater Noida, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-sql-dba-coforge-noida-pune-greater-noida-bangalore-bengaluru-6-to-10-years-061022501061"")","communication, SSMS, NET framework, Production support, Data Analyst, Management, SQL DBA"
Data Analyst - FinTech,Primo Hiring,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""1-2 Yrs "">1-2 Yrs</span>","Pune, Kolkata, Mumbai, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-fintech-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-2-years-270922901701"")","Data Management, Data Analytics, Data Governance, Analytics, SQL, Statistics"
"Credit Suisse - Data Scientist / Analyst (BFS), Pune (2+ years)",Credit Suisse,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""2-5 Yrs "">2-5 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-credit-suisse-data-scientist-analyst-bfs-pune-2-years-credit-suisse-pune-2-to-5-years-070722005219"")","data analytics, data science, data scientist, data analyst"
Data Analyst - Python/Artificial Intelligence,iMindYourBusiness,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-2 Yrs "">0-2 Yrs</span>","Pune, Kolkata, Mumbai, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-2-years-220922907968"")","Data Analyst, Python, SQL server, C++, VBA, Advanced Excel, IT Skills, Data Science"
Required Data Analyst Inventory Management Off roll,Teamlease,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""1-4 Yrs "">1-4 Yrs</span>",Pune,"4,00,000 - 6,50,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-required-data-analyst-inventory-management-off-roll-teamlease-services-ltd-pune-1-to-4-years-300922002004"")","Power Bi Dashboards, Vba Automation, advanced excel, Dax, inventory analysis, cycle counting, python, data analysis"
Data Analyst - International Trade Compliance,Emerson Electric Co,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""5-8 Yrs "">5-8 Yrs</span>","Pune, Talegaon-Dabhade",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-international-trade-compliance-emerson-electric-co-i-pvt-ltd-pune-talegaon-dabhade-5-to-8-years-260722002934"")","data analysis, advanced excel, trade compliance, power bi, analytics, sql"
Data Analyst,"Coresight Research, Inc.","<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""4-8 Yrs "">4-8 Yrs</span>","Pune, Mangaluru/Mangalore, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-analyst-coresight-research-services-private-limited-mangaluru-mangalore-pune-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-8-years-300922000844"")","data analysis, Information Research, python, Correlation, Data Management, Data Extraction, Statistics"
Hiring For Data Analyst (DA)/ Team Lead (TL) -Clinical Data management,Cognizant,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""3-8 Yrs "">3-8 Yrs</span>","Pune, Kolkata, Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-hiring-for-data-analyst-da-team-lead-tl-clinical-data-management-cognizant-technology-solutions-india-pvt-ltd-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-mumbai-all-areas-3-to-8-years-250722007690"")","clinical data management, sae reconciliation, data analysis, data review"
