Job Title,Company,Experience,Location,Salary,Link,Skills
Data Science Specialist,Accenture,"<span class=""ellipsis fleft fs12 lh16"" title=""2-4 Yrs "">2-4 Yrs</span>","Bangalore/Bengaluru, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-science-specialist-accenture-solutions-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-230922908330"")","Product management, Change management, Consulting, Machine learning, Python, VBA, Artificial Intelligence, Text analysis"
"Mongodb Database Administrator, Maria DB or Cassandra",Mphasis,"<span class=""ellipsis fleft fs12 lh16"" title=""9-14 Yrs "">9-14 Yrs</span>","Bangalore/Bengaluru, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Mumbai (All Areas)",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-mongodb-database-administrator-maria-db-or-cassandra-mphasis-limited-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-9-to-14-years-210922003779"")","MongoDB, NoSQL, Cassandra, Mariadb, Performance Tuning"
Assistant Manager - Data Science,CitiusTech,"<span class=""ellipsis fleft fs12 lh16"" title=""5-9 Yrs "">5-9 Yrs</span>","Bangalore/Bengaluru, Mumbai, Pune",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-assistant-manager-data-science-citiustech-healthcare-technology-pvt-ltd-mumbai-pune-bangalore-bengaluru-5-to-9-years-010822004921"")","Data Science, NLP, Machine Learning, Deep Learning, Python, R, Data Modelling, Analytical"
Data Scientist,Tech Mahindra,"<span class=""ellipsis fleft fs12 lh16"" title=""10-14 Yrs "">10-14 Yrs</span>","Bangalore/Bengaluru, Hyderabad/Secunderabad, Pune, Chennai","25,00,000 - 40,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-data-scientist-tech-mahindra-ltd-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-10-to-14-years-180922001173"")","Python, data mining, Tableau, Hadoop, Analytical, -, R, SQL"
Senior Data Scientist,Boston Consulting Group,"<span class=""ellipsis fleft fs12 lh16"" title=""5-10 Yrs "">5-10 Yrs</span>","Bangalore/Bengaluru, Mumbai, New Delhi, Chennai",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-scientist-boston-consulting-group-mumbai-new-delhi-chennai-bangalore-bengaluru-5-to-10-years-210922500870"")","Supply chain, advanced analytics, Due diligence, Network analysis, Consulting, Management consulting, Machine learning, Predictive modeling"
Data Scientist: Artificial Intelligence,IBM,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>",Bangalore/Bengaluru,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bangalore-bengaluru-4-to-8-years-280922904652"")","IVR, Disaster recovery, Agile, IT Skills, Cloud, Infrastructure, Telecommunication, Management"
Senior Data Scientist,DXC Technology,"<span class=""ellipsis fleft fs12 lh16"" title=""6-10 Yrs "">6-10 Yrs</span>",Bangalore/Bengaluru,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-scientist-dxc-technology-bangalore-bengaluru-6-to-10-years-270922500245"")","Business process, Computer vision, data science, GCP, Neural networks, Machine learning, Agile, RFP"
Senior Data Scientist,Wabtec,"<span class=""ellipsis fleft fs12 lh16"" title=""6-9 Yrs "">6-9 Yrs</span>",Bangalore/Bengaluru,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-scientist-wabtec-india-industrial-private-limited-bangalore-bengaluru-6-to-9-years-270922000752"")","machine learning, deep learning, Artificial Intelligence, Computer Vision"
Senior Manager - EmTech - Machine Learning - P&T,PwC,"<span class=""ellipsis fleft fs12 lh16"" title=""5-12 Yrs "">5-12 Yrs</span>","Bangalore/Bengaluru, Mumbai, Hyderabad/Secunderabad",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-manager-emtech-machine-learning-p-t-pricewaterhouse-coopers-private-limited-mumbai-hyderabad-secunderabad-bangalore-bengaluru-5-to-12-years-120822502728"")","Automation, Prototype, Simulation, Analytical, Process improvement, Packaging, Data mining, Robotics"
Senior Data Scientist,Wipro,"<span class=""ellipsis fleft fs12 lh16"" title=""8-13 Yrs "">8-13 Yrs</span>","Bangalore/Bengaluru, Pune, Chennai",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-scientist-wipro-limited-pune-chennai-bangalore-bengaluru-8-to-13-years-200922008774"")","RapidMiner, Deep Learning, BERT, Azure Event Hub, NumPy, Rabbit MQ, SpaCy, Apache Kafka"
