Job Title,Company,Experience,Location,Salary,Link,Skills
Sr Software Developer- ( .Net/MVC /API),Hexaware Technologies,"<span class=""ellipsis fleft fs12 lh16"" title=""4-6 Yrs "">4-6 Yrs</span>","Pune, Chennai, Mumbai (All Areas)","6,50,000 - 13,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-sr-software-developer-net-mvc-api-hexaware-technologies-ltd-pune-chennai-mumbai-all-areas-4-to-6-years-050922005129"")","asp.net web api, .net core, mvc"
Embedded Software Developer,Mirafra,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>","Pune, Bangalore/Bengaluru","2,00,000 - 7,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-embedded-software-developer-mirafra-software-technologies-pvt-ltd-pune-bangalore-bengaluru-2-to-7-years-050922002282"")","embeded, c, RTOS, Device Drivers, embedded software development, automotive, arm, Firmware Development"
Software Developer/Engineer,PURPLE DRIVE TECHNOLOGIES PRIVATE LIMITED,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>","Pune, Chennai",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-120722602496"")",
Sr. Software developer,HR CENTRAL,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""3-8 Yrs "">3-8 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-software-developer-hr-central-pune-3-to-8-years-030922004136"")",
Senior Software Developer - JBPM/Java,SteerLean,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>","Pune, Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-software-developer-jbpm-java-steerlean-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-3-to-8-years-300822910160"")",
Sr. Software Developer - SDE2(level5)-Bangalore/Gurgaon/Pune/Hyderabad,Amazon,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>","Pune, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-software-developer-sde2-level5-bangalore-gurgaon-pune-hyderabad-amazon-development-centre-india-pvt-ltd-hyderabad-secunderabad-pune-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-230822003554"")",
Sr Software Developer,SAS Research and  Developement (India) Pvt Ltd,"<span class=""ellipsis fleft fs12 lh16"" title=""2-3 Yrs "">2-3 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-software-developer-sas-research-and-developement-india-pvt-ltd-pune-2-to-3-years-300822501480"")",
Principal Software Developer,EXFO Electro-Optical Engineering India Pvt. Ltd.,"<span class=""ellipsis fleft fs12 lh16"" title=""8-13 Yrs "">8-13 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-290822501940"")",
Junior Software Developer,MTechZilla,"<span class=""ellipsis fleft fs12 lh16 expwdth"" title=""0-1 Yrs "">0-1 Yrs</span>",Remote,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-junior-software-developer-mtechzilla-pune-0-to-1-years-250822003309"")",
Data Engineering - Sr. Software Developer,Jet2 Travel Technologies,"<span class=""ellipsis fleft fs12 lh16"" title=""5-8 Yrs "">5-8 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-engineering-sr-software-developer-jet2-travel-technologies-pvt-ltd-pune-5-to-8-years-230822011944"")","Computer science, Automation, orchestration, RDBMS, Business intelligence, Data warehousing, User management, Operations"
Fullstack Software Developer (1-3 years) - C# .NET,delta X,"<span class=""ellipsis fleft fs12 lh16"" title=""0-3 Yrs "">0-3 Yrs</span>","Pune, Hyderabad/Secunderabad, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-fullstack-software-developer-1-3-years-c-net-adbox-software-private-limited-hyderabad-secunderabad-pune-bangalore-bengaluru-0-to-3-years-230822005022"")","asp.net core, .net core, MySQL, PHP, Vue.Js, css, Rest Api Development, Javascript"
Sr. Software Developer- Java,TIGI HR Solution,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-software-developer-java-tigi-hr-solution-pune-3-to-8-years-010922908560"")",
Sr. Software Developer- Java,TIGI HR Solution Pvt. Ltd,"<span class=""ellipsis fleft fs12 lh16"" title=""3-6 Yrs "">3-6 Yrs</span>",Pune,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-software-developer-java-tigi-hr-solution-pvt-ltd-pune-3-to-6-years-310822906742"")","Java, Multithreading, J2EE, Mongo, Socket Programming, algorithms, Hibernate, Spring"
